ID,Name,Dribbling,BallControl,Acceleration,Balance,Stamina,Strength,Vision,Release Clause
208670,H. Ziyech,83,83,76,78,86,59,88,48
208618,Lucas Vázquez,82,83,84,84,90,57,83,55
208418,Y. Carrasco,88,87,89,71,74,59,71,73
208093,Gerard Moreno,78,81,77,69,72,74,58,70
207863,Felipe,57,62,60,57,78,86,50,40
206585,Kepa,10,16,34,39,37,51,55,58
206545,Manu Trigueros,80,83,68,72,77,63,84,65
206113,S. Gnabry,87,83,92,88,68,68,74,60
204935,J. Pickford,14,40,53,55,45,70,68,49
204639,S. Savić,47,68,55,49,58,77,41,55
203574,J. Stones,69,80,67,59,79,77,67,55
202651,Suso,88,89,83,84,77,56,84,59
202166,J. Draxler,88,89,78,75,69,66,84,63
201995,Felipe Anderson,90,88,93,88,72,53,79,62
200949,Lucas Moura,88,81,94,90,75,59,74,60
200888,Danilo Pereira,76,78,63,60,83,89,73,56
200724,Nacho Fernández,55,78,70,68,78,79,53,52
200316,T. Horn,20,22,45,31,31,67,55,38
199914,Allan,82,80,81,80,95,77,79,45
199845,F. Acerbi,65,72,65,35,81,83,65,32
199564,Sergi Roberto,78,83,78,74,85,69,83,56
198329,Rodrigo,82,82,88,77,78,72,74,66
197965,Pizzi,80,82,82,77,86,59,85,51
195365,K. Kampl,86,84,84,80,88,47,82,45
194404,Neto,19,24,53,49,39,63,42,46
193698,O. Baumann,19,17,47,43,39,69,41,37
193474,I. Gueye,75,79,76,80,89,70,67,40
192883,H. Mkhitaryan,84,86,84,85,83,62,84,49
192638,Marcos Alonso,79,83,69,58,90,76,69,46
192593,D. Subašić,11,19,51,37,32,80,52,25
190547,K. Glik,51,59,50,51,67,90,23,36
189712,K. Strootman,75,84,65,68,79,81,79,40
189068,B. Dost,68,74,49,32,82,92,68,52
188152,Oscar,78,84,75,80,76,38,83,69
186627,M. Balotelli,81,85,76,50,66,86,74,52
185221,Luiz Gustavo,68,73,65,62,85,81,69,36
184942,Giuliano,84,84,85,85,82,74,80,44
179944,David Luiz,66,79,59,56,66,79,69,32
179783,R. Fährmann,15,24,38,36,32,79,42,36
178088,Juan Mata,82,88,69,89,71,37,85,45
178086,Adán,12,15,56,51,32,77,42,32
178005,Rui Patrício,20,23,53,54,45,77,64,31
177683,Y. Sommer,15,25,48,58,45,68,58,36
177610,Javi Martínez,60,74,49,48,74,84,75,33
177457,L. Bender,72,75,66,63,86,76,76,34
176266,Lucas Leiva,77,78,67,80,80,67,81,30
163705,S. Mandanda,15,17,53,36,31,61,55,25
162895,Cesc Fàbregas,79,85,56,75,56,61,91,41
162240,M. Dembélé,89,89,72,76,70,89,80,44
156616,F. Ribéry,84,87,78,90,58,60,84,19
104389,R. Jarstein,11,23,40,45,31,70,37,22
53302,D. De Rossi,64,77,63,72,74,81,71,14
24630,Pepe Reina,10,23,50,60,34,72,65,10
236583,J. Pavlenka,12,19,35,27,20,68,25,35
235243,M. de Ligt,65,73,62,59,74,87,63,43
231866,Rodri,77,82,70,72,86,75,83,62
230658,Arthur,82,83,68,86,78,62,82,73
230621,G. Donnarumma,28,28,46,38,34,72,50,55
230258,Rosberto Dourado,77,76,80,80,93,68,77,31
230225,Juiano Mestres,60,64,68,63,76,79,50,12
230168,Raphaelito Anjos,9,21,41,41,29,79,71,25
227055,Gelson Martins,85,83,95,92,87,48,79,63
224411,Gonçalo Guedes,86,81,89,78,81,62,77,63
223959,L. Torreira,78,81,81,93,85,66,74,49
222737,Malcom,85,85,87,84,74,64,83,71
221087,Pau López,18,16,45,57,42,52,62,47
220814,L. Hernández,65,79,80,67,82,76,61,57
220440,C. Lenglet,60,76,72,60,73,80,60,59
216354,A. Kramarić,87,86,78,82,76,68,66,46
216267,A. Robertson,76,78,81,74,89,66,74,48
216194,Dani García,66,81,53,72,88,75,76,44
212404,F. Bernardeschi,86,87,83,79,80,63,80,51
212194,J. Brandt,87,85,78,78,73,69,83,58
211320,D. Rugani,64,65,56,53,67,79,50,42
210617,Samu Castillejo,85,83,85,78,55,50,81,52
210514,João Cancelo,84,83,91,74,89,66,74,47
210413,A. Romagnoli,65,69,63,53,75,81,40,50
209989,T. Partey,78,81,73,53,87,81,73,57
209297,Fred,79,86,77,87,87,61,76,51
208830,J. Vardy,76,76,89,76,86,67,72,38
208596,A. Belotti,78,75,78,75,83,84,61,53
208448,E. Forsberg,82,87,76,82,74,62,83,46
207494,J. Lingard,83,83,84,86,87,53,82,51
207471,F. Vázquez,86,87,58,39,61,79,84,45
205678,E. Višća,82,82,90,88,84,58,73,43
205452,A. Rüdiger,59,69,67,50,60,82,57,43
203551,A. Florenzi,78,79,86,82,90,67,76,36
203263,H. Maguire,70,76,39,58,68,89,60,46
202371,T. Meunier,75,82,74,49,92,85,71,40
201956,S. Sané,64,70,62,37,69,88,62,32
201455,G. Kondogbia,78,82,69,67,85,91,78,60
201400,Rafinha,87,84,71,80,67,66,81,63
201305,Gabriel Paulista,60,69,71,67,72,82,65,46
201153,Morata,83,82,76,60,68,78,76,55
199987,J. Cillessen,12,32,54,50,40,67,60,38
199451,W. Ben Yedder,84,83,87,87,69,60,79,49
198951,C. Bakambu,80,82,88,72,79,76,73,59
198950,Pablo Sarabia,86,84,75,81,72,58,84,57
198717,W. Zaha,90,87,89,82,76,75,77,56
198706,Luis Alberto,86,88,77,74,73,67,87,51
198164,Jonathan Viera,84,82,86,92,79,67,84,50
198141,Bartra,70,80,75,71,67,71,75,46
197655,S. Coates,64,62,46,30,81,94,50,44
195093,Willian José,79,80,62,43,73,90,68,58
193525,Mário Fernandes,77,79,79,61,87,75,73,41
193469,Víctor Ruiz,53,71,55,58,72,87,56,42
193283,T. Delaney,73,77,76,74,90,79,77,38
192984,K. Casteels,14,23,44,43,44,72,42,35
192318,M. Götze,84,90,74,85,73,68,86,48
192227,S. Mustafi,53,70,58,67,68,78,55,44
191180,J. Pastore,87,86,69,63,62,64,87,37
189505,Pedro,84,85,79,80,70,47,77,39
189125,G. Bonaventura,83,85,75,77,84,66,82,37
189117,R. Bürki,12,23,44,52,36,74,50,33
188803,Taison,87,85,93,83,79,62,79,44
187936,S. Nzonzi,72,81,44,31,86,92,77,29
187754,Marlos,87,88,85,84,78,62,82,44
186561,A. Ramsey,81,82,64,74,89,67,79,49
186345,K. Trippier,75,80,76,74,88,65,80,34
185103,A. Kolarov,79,76,73,58,84,77,77,21
184484,G. Sigurðsson,80,85,58,63,86,68,86,43
184431,S. Giovinco,86,86,88,91,77,42,81,30
184200,M. Arnautović,84,85,79,66,78,84,77,42
184144,N. Gaitán,84,83,84,81,69,46,82,45
183711,J. Henderson,73,80,67,70,91,72,83,34
183574,M. Kruse,82,85,69,76,71,72,83,37
183498,M. Parolo,75,79,68,71,88,77,78,15
183376,L. Fejsa,68,72,52,58,90,78,63,34
183280,A. Rami,56,68,52,54,84,91,44,24
181786,V. Ćorluka,65,73,49,46,80,86,60,26
181291,G. Wijnaldum,84,84,77,81,85,72,78,44
179847,F. Fazio,48,72,36,32,74,91,47,26
178509,O. Giroud,70,83,43,54,62,88,76,37
173521,Marcano,54,67,67,56,78,77,48,26
171897,A. Guardado,80,84,74,88,84,57,83,40
170481,E. Garay,60,73,34,34,62,88,63,32
168530,Jardel,52,60,50,34,68,89,49,25
168435,S. Sirigu,15,18,50,55,34,66,55,23
168354,E. Viviano,18,22,30,32,29,58,60,25
165229,L. Koscielny,62,66,64,61,62,75,56,24
163489,A. Consigli,10,23,48,40,31,51,46,23
158963,L. Biglia,80,84,65,78,75,65,80,21
146530,Dani Alves,84,86,77,87,74,55,78,9
113422,David Villa,83,85,72,73,70,66,75,12
106231,Aduriz,76,82,64,55,60,82,73,17
48940,P. Čech,12,22,35,34,32,63,53,6
5479,Casillas,25,23,59,46,43,70,65,3
231677,M. Rashford,83,80,90,77,79,71,74,55
230271,Laure Santeiro,82,82,86,88,67,48,80,32
229906,L. Bailey,86,82,94,84,76,59,77,50
229237,M. Akanji,67,75,72,66,76,84,66,40
228702,F. de Jong,86,88,74,78,74,69,85,42
227928,Nélson Semedo,80,78,91,83,91,62,62,43
226456,Pablo Fornals,81,81,71,76,77,67,86,52
226271,Fabián,81,83,69,66,73,69,82,49
225508,E. Bailly,60,65,68,62,72,85,54,43
222509,Dani Ceballos,85,85,73,79,75,62,83,56
221992,H. Lozano,84,80,94,76,80,59,75,35
216475,Morales,87,83,88,80,82,60,75,36
216451,J. Seri,78,84,75,88,75,63,83,41
216409,M. Politano,84,83,85,82,79,45,75,
216352,M. Brozović,81,83,69,74,84,66,80,33
216201,Williams,82,81,92,55,75,85,75,56
214997,A. Correa,87,87,87,83,74,63,78,55
213661,A. Christensen,68,74,66,61,69,73,62,44
212814,João Mário,83,83,73,77,79,68,81,40
212151,T. Strakosha,14,15,41,47,23,56,49,30
210864,E. Hysaj,75,77,79,69,87,69,59,36
210406,P. Zieliński,84,85,82,76,72,54,82,47
210243,Ricardo Pereira,83,79,88,77,84,60,75,38
210035,Grimaldo,83,82,85,86,83,63,60,45
209889,R. Guerreiro,83,84,82,86,72,49,79,43
208135,A. Doucouré,78,80,63,69,93,81,76,39
207877,J. Martínez,75,78,89,90,72,73,58,35
207664,C. Bacca,80,80,73,77,66,74,68,34
206467,A. Plea,78,79,78,78,82,77,78,39
205923,B. Davies,76,79,76,68,85,69,75,36
205362,M. Nastasić,43,65,65,59,62,78,55,33
205175,A. Milik,74,78,69,63,73,78,60,49
204923,M. Sabitzer,79,81,83,79,84,76,79,40
204884,B. Mendy,80,79,77,70,81,81,76,39
204024,C. Kramer,71,81,52,54,93,69,73,30
203890,S. Vrsaljko,74,79,82,72,90,73,68,
203486,T. Hazard,85,83,86,83,77,62,80,38
202857,K. Bellarabi,87,83,90,78,73,68,76,31
202685,S. Zaza,77,79,79,69,76,88,66,
201454,F. Ghoulam,79,80,71,62,88,68,69,29
200726,B. Lecomte,11,23,44,25,34,55,41,31
200647,J. Iličić,83,87,67,56,64,74,82,29
200610,K. Volland,79,81,78,84,88,82,81,39
200454,Paco Alcácer,78,81,82,84,65,64,65,42
199715,Vitolo,84,83,78,63,80,81,78,37
199503,G. Xhaka,70,80,47,61,80,75,81,44
199434,D. Tadić,85,86,69,80,69,62,85,25
199042,C. Aránguiz,75,82,76,85,87,63,81,29
196889,S. Verdi,84,86,88,90,75,48,82,33
195086,D. Lovren,63,67,54,41,68,82,56,32
193532,G. Medel,63,71,72,92,84,83,72,25
193348,X. Shaqiri,86,84,84,91,75,73,81,36
193165,J. Corona,91,84,87,87,74,39,77,45
193105,A. Areola,12,22,54,58,28,80,34,32
192641,K. Vogt,67,71,66,47,74,85,67,31
191740,Ander Herrera,77,82,75,78,87,67,78,32
190972,E. Salvio,85,84,89,76,85,63,76,37
190813,S. El Shaarawy,84,86,86,81,68,54,73,37
189881,C. Smalling,59,58,61,45,71,87,49,31
189362,Hulk,82,79,81,59,86,92,75,34
189358,S. Kagawa,86,83,74,88,82,39,80,30
188988,M. Lanzini,87,86,84,89,73,39,79,45
187491,F. Smolov,77,78,88,66,74,75,75,39
187072,L. Stindl,78,83,74,78,78,69,83,31
185239,O. Toprak,63,71,71,61,67,78,59,28
183900,D. Perotti,88,88,86,78,73,60,84,30
182494,F. Muslera,25,23,60,62,45,68,58,19
179784,B. Höwedes,59,65,52,61,61,78,57,27
179645,S. Kjær,46,71,56,58,76,80,49,29
177458,S. Bender,58,60,65,61,83,77,65,24
177326,M. Valbuena,83,82,81,92,73,37,77,21
175379,Pedro León,84,85,63,73,65,63,82,33
173909,K. Boateng,79,84,67,68,68,78,78,26
173771,L. Piszczek,72,76,74,66,77,78,71,12
173221,A. Candreva,82,83,77,76,86,69,77,26
172522,D. Wass,80,81,74,63,90,70,81,36
170368,E. Lamela,86,84,76,74,78,68,83,40
169595,D. Rose,80,77,79,76,78,72,73,27
169416,C. Vela,83,83,78,81,74,67,81,26
169195,Renato Augusto,82,81,66,66,81,76,81,36
167905,A. Valencia,80,81,82,78,79,79,71,19
164835,L. Fabiański,14,22,50,44,25,65,52,17
162347,João Moutinho,79,82,66,84,78,63,80,29
161956,Borja Valero,85,88,55,80,69,66,86,19
159261,F. Quagliarella,76,81,73,75,66,76,77,14
159145,B. Gomis,78,79,69,58,68,83,69,24
157960,Manuel Fernandes,86,83,83,76,76,71,81,29
156519,H. Herrera,76,78,71,70,94,73,77,35
144622,Raffael,87,85,74,83,62,62,81,19
139068,Nani,87,86,77,77,74,62,79,31
138412,J. Milner,76,79,63,73,91,71,79,26
112316,J. Mathieu,65,62,68,43,78,89,58,11
45186,Joaquín,85,83,69,72,54,64,84,13
239207,M. Gómez,76,77,61,53,71,80,60,45
235790,K. Havertz,81,83,77,71,73,61,83,42
235569,T. Ndombele,86,84,84,83,78,78,79,47
234906,H. Aouar,84,82,79,81,79,61,84,49
234153,Carlos Soler,79,82,75,70,78,65,83,48
234035,Odriozola,69,77,80,79,80,63,63,42
230977,M. Almirón,81,79,90,64,85,52,79,31
230347,Welington Dano,77,78,78,81,89,68,75,20
230234,Everton Andrão,75,77,69,77,89,71,73,9
230142,Oyarzabal,84,85,72,70,71,59,79,48
228229,F. Balbuena,47,56,56,42,76,84,45,31
227536,M. Marega,62,65,87,50,91,90,65,32
226851,B. Pavard,66,77,69,66,77,74,66,33
226790,W. Ndidi,74,75,73,67,92,75,67,34
226753,A. Onana,26,38,64,53,39,67,62,21
226226,G. Lo Celso,81,82,72,81,80,67,81,
224334,M. Acuña,85,82,79,86,90,84,78,25
224293,Rúben Neves,73,80,64,70,78,70,83,43
221639,Mariano,75,72,84,72,81,79,63,43
221540,Raúl,56,60,52,52,75,85,53,24
220477,M. Caldara,62,63,65,59,67,79,32,33
219985,M. Vecino,84,84,74,56,81,75,81,26
219809,T. Bakayoko,76,77,67,57,83,80,73,
218339,M. Dahoud,85,83,78,84,89,58,81,38
216547,Rafa,86,84,91,89,78,40,75,38
215785,K. Baldé,83,85,92,78,73,76,72,
215316,G. Rulli,14,15,54,50,42,73,58,31
214584,F. Armani,19,29,40,34,28,82,55,13
212692,Rony Lopes,82,81,83,86,70,56,77,40
212623,Santi Mina,81,80,77,75,75,73,65,44
211748,K. Demirbay,82,84,67,77,74,67,81,35
211688,Gayà,77,81,86,83,83,61,72,36
211575,André Gomes,80,78,68,64,76,86,81,
211256,N. Tagliafico,74,74,85,79,91,63,68,22
210896,M. Sanson,77,79,77,69,79,76,82,39
209960,Pacheco,13,14,48,51,43,72,45,28
208333,E. Can,76,81,69,71,85,83,79,34
208128,H. Çalhanoğlu,85,86,73,77,76,54,80,35
207862,M. Ginter,62,72,55,49,74,81,68,28
207599,M. Keane,66,69,58,62,68,85,56,31
206413,T. Stepanenko,64,78,71,73,82,76,69,25
205988,L. Shaw,82,80,83,74,77,75,69,32
205705,Z. Feddal,56,67,51,33,64,81,47,25
205693,S. Haller,72,79,68,53,72,91,72,34
205525,Bernard,82,84,94,96,68,34,77,35
205114,T. Inui,88,82,88,93,76,51,74,29
205070,Portu,82,83,85,72,83,71,77,38
204529,M. Batshuayi,78,80,77,76,66,78,62,
204399,E. Zahavi,81,83,73,72,74,68,81,31
204120,T. Vaclík,14,20,34,53,35,73,68,25
203841,N. Pope,15,24,50,45,37,73,43,26
203747,Héctor Bellerín,75,78,94,77,84,58,66,33
203605,P. Kadeřábek,76,77,78,66,86,79,68,25
203042,J. Butland,21,36,58,50,40,79,40,28
202849,J. Vestergaard,44,54,35,28,54,94,60,29
202695,J. Tarkowski,66,70,55,57,69,81,66,31
202477,Deulofeu,88,86,89,77,70,54,76,37
202335,E. Dier,65,70,62,38,78,89,67,32
201377,J. Murillo,58,64,75,72,72,80,54,35
201144,M. Badelj,72,80,55,64,79,71,78,20
201119,Ismaily,83,81,84,82,88,75,71,24
200536,N. Schulz,79,78,88,73,79,76,67,26
200458,L. Digne,76,82,76,79,79,69,72,32
200318,M. Uth,78,78,77,67,75,67,71,31
200315,Cristian Tello,82,81,92,79,73,58,74,34
199206,D. Vida,53,66,70,63,76,77,50,22
199110,L. Muriel,85,83,86,80,74,80,73,38
199069,V. Aboubakar,81,80,76,63,83,85,81,37
198784,A. Oxlade-Chamberlain,84,84,84,88,82,72,81,39
197853,S. Aurier,76,79,79,76,77,74,71,30
197061,J. Matip,65,69,55,47,73,77,72,30
195861,Y. Rakitskyi,69,73,69,73,82,84,75,25
194879,Sergi Enrich,76,80,60,67,80,83,72,33
194794,A. Yarmolenko,86,83,69,67,60,76,78,29
194229,Hugo Mallo,69,80,71,66,91,69,64,29
194022,André Almeida,75,79,65,60,84,78,69,24
193886,D. Didavi,81,83,70,73,66,76,74,26
193352,R. Rodríguez,76,78,73,70,77,75,74,28
193061,R. Pereyra,84,84,75,73,77,63,80,30
192789,Mario Gaspar,73,76,76,60,77,79,57,25
191687,Maicon,55,60,52,45,70,90,52,22
190815,D. Blind,73,80,62,75,83,74,76,17
190778,J. Zoet,15,34,57,42,40,65,57,18
190544,A. Ljajić,87,86,82,79,60,58,78,
190286,Canales,81,80,67,69,55,56,82,33
190264,Iago Falqué,84,85,79,85,74,53,78,26
189805,L. de Jong,66,76,53,59,83,84,69,22
189690,Guaita,16,24,51,48,41,62,52,17
189575,Muniain,86,83,83,94,64,46,77,40
189354,Susaeta,85,84,78,74,68,58,84,29
189251,S. Rudy,78,82,69,75,77,66,80,20
188943,K. Trapp,10,24,45,37,45,73,46,
188942,V. Wanyama,68,75,54,65,78,92,64,28
188829,N. Nkoulou,68,74,72,78,63,74,63,20
188388,R. Boudebouz,81,80,75,78,68,61,85,32
188005,Camacho,64,75,63,63,79,75,76,24
186569,S. Ulreich,13,22,41,39,29,41,42,17
186547,M. Musacchio,65,67,69,68,68,76,64,21
186537,C. Stuani,78,79,70,62,81,78,69,28
185122,P. Gulácsi,19,25,42,50,35,68,36,18
184120,Bruno,74,78,34,60,50,72,85,15
183427,F. Delph,77,82,75,86,87,65,73,21
180819,A. Lallana,84,85,70,75,77,64,83,26
180334,Marcelo,51,65,54,47,85,90,57,19
180216,S. Coleman,79,78,77,74,77,69,70,21
180175,Alexandre Pato,81,80,84,69,67,72,66,33
178424,Antunes,74,80,76,76,85,68,66,20
177604,Nacho Monreal,73,77,72,73,74,65,66,15
177600,Beñat,72,80,64,73,77,70,84,26
176915,A. Fernández,78,81,69,79,75,73,81,24
176600,K. Gameiro,75,79,86,77,75,64,75,28
176376,I. Piatti,86,84,77,81,89,73,77,14
176104,V. Birsa,84,86,70,68,72,77,82,22
173373,S. Romero,12,40,47,44,35,75,55,17
173208,D. Criscito,72,73,78,65,89,73,75,17
172114,D. Valeri,78,82,62,73,82,63,82,17
171833,D. Sturridge,79,80,72,64,55,66,74,30
171579,Raúl García,78,85,47,64,74,82,83,27
170815,S. Defour,78,80,67,79,77,68,80,26
166706,M. Škrtel,46,57,49,52,76,86,28,11
165109,S. Radu,66,69,70,67,69,74,60,17
164468,G. Cahill,56,61,42,47,61,79,56,16
163711,L. Diarra,73,80,69,87,85,68,73,11
